ID,slug,name,short_description,long_description,seo_description,base_spirit,category_primary,categories_all,tags,image_url,image_alt,glassware,garnish,technique,difficulty,flavor_strength,flavor_sweetness,flavor_tartness,flavor_bitterness,flavor_aroma,flavor_texture,notes,fun_fact,fun_fact_source,metadata_json,ingredients,instructions
mw_review_002_001,long-island-iced-tea,Long Island Iced Tea,"A party-ready highball of five white spirits, triple sec, lemon, and cola.","The Long Island Iced Tea combines vodka, gin, rum, tequila, and triple sec with lemon juice and a cola top. Despite the name, it contains no tea; the cola simply gives the drink its iced-tea color. Built as a shaken sour then finished with soda, it is strong, citrusy, and designed for volume service. It became a staple of late-twentieth-century American nightlife.","Shake a Long Island Iced Tea with vodka, gin, rum, tequila, triple sec, lemon, and cola for a classic party cocktail.",Vodka,Highball,party|highball|summer|classic,vodka|gin|rum|tequila|cola|lemon|party,,"Long Island Iced Tea served in a highball glass over ice, cola-tea color, garnished with a lemon wedge.",Highball glass,lemon wedge,Shake,Easy,9,4,5,1,5,5,"Keep each spirit measure equal and modest; the drink is already potent. Cola is a float/top, not the base mixer.",The Long Island Iced Tea is widely linked to 1970s Long Island bar culture; Robert “Rosebud” Butt is often credited with popularizing the modern cola-finished version.,American bar histories; Difford’s Guide summaries,{},0.5 oz vodka|0.5 oz gin|0.5 oz white rum|0.5 oz blanco tequila|0.5 oz triple sec|1 oz fresh lemon juice|0.5 oz simple syrup|2 oz cola,"1. Shake vodka, gin, rum, tequila, triple sec, lemon juice, and simple syrup with ice. 2. Strain into a highball glass filled with ice. 3. Top with cola and stir once. 4. Garnish with a lemon wedge."
mw_review_002_002,sangria,Sangria,"A Spanish wine punch with citrus, brandy, and fresh fruit for sharing.","Sangria is a wine-based punch built for pitchers rather than single serves. Red wine provides the body, brandy adds strength, and citrus with seasonal fruit sweetens and brightens the mix. Served over ice, it is flexible, communal, and strongly associated with warm-weather entertaining. Proportions vary by region and household, but the wine-fruit-citrus frame remains constant.","Build a Sangria with red wine, brandy, citrus, and fresh fruit for a classic Spanish summer punch.",Brandy,Punch,party|punch|summer|spanish|sharing,wine|brandy|citrus|fruit|pitcher|summer,,Sangria served in a wine glass over ice with citrus and berry fruit floating.,Wine glass,orange wheel|seasonal berries,Build,Easy,4,5,4,1,6,4,Rest the mixture cold for at least an hour so fruit flavor integrates. Add soda water only at service if you want lift without diluting the batch early.,Sangria is rooted in Iberian wine-and-fruit drinking traditions and became an international summer staple after broader exposure through Spanish hospitality and export culture.,Spanish wine histories; modern punch guides,{},1 bottle dry red wine|3 oz brandy|2 oz orange liqueur|2 oz fresh orange juice|1 oz fresh lemon juice|2 oz simple syrup|1 orange sliced|1 lemon sliced|1 cup mixed berries|optional soda water to taste,"1. Combine wine, brandy, orange liqueur, juices, syrup, and fruit in a pitcher. 2. Chill at least 1 hour. 3. Serve over ice in wine glasses. 4. Top with a splash of soda water if desired and garnish with fruit."
mw_review_002_003,strawberry-daiquiri,Strawberry Daiquiri,A frozen rum sour blended with strawberries for a bright summer serve.,"The Strawberry Daiquiri applies the classic rum-lime-sugar sour to ripe strawberries, usually as a blended frozen drink. Rum keeps the structure, lime sharpens the fruit, and ice creates a slush texture suited to hot weather. Served in a stemmed or specialty glass, it is one of the most recognizable summer cocktail variations. Fresh or frozen berries both work when balanced carefully.","Blend a Strawberry Daiquiri with white rum, lime, strawberries, and ice for a classic frozen summer cocktail.",Rum,Sour,summer|sour|frozen|party|tropical,rum|strawberry|lime|frozen|blended|summer,,"Strawberry Daiquiri served frozen in a coupe, pink-red slush texture, garnished with a strawberry.",Coupe,fresh strawberry,Blend,Easy,5,6,5,0,6,7,Taste for sweetness after blending; ripe strawberries need less syrup. Avoid over-diluting with too much ice.,Fruit daiquiri variations proliferated in mid-century American bars as blenders made frozen citrus-rum drinks practical for high-volume summer service.,Mid-century American cocktail service histories,{},2 oz white rum|1 oz fresh lime juice|0.75 oz simple syrup|1 cup strawberries|1 cup ice,"1. Add rum, lime juice, simple syrup, strawberries, and ice to a blender. 2. Blend until smooth and thick. 3. Pour into a chilled coupe. 4. Garnish with a fresh strawberry."
mw_review_002_004,blue-hawaiian,Blue Hawaiian,"A turquoise rum highball with pineapple, coconut, and blue curaçao.","The Blue Hawaiian is a tropical rum drink colored and flavored with blue curaçao, then rounded with pineapple and coconut. It sits in the same family as the Blue Hawaii but leans creamier when coconut cream is used. Served over ice or frozen, it is explicitly festive and summer-coded. The vivid color is part of the drink’s identity as a party cocktail.","Build a Blue Hawaiian with rum, blue curaçao, pineapple, and coconut for a classic tropical party cocktail.",Rum,Tiki,summer|tiki|party|tropical|highball,rum|blue-curacao|pineapple|coconut|tropical,,"Blue Hawaiian served in a highball glass over ice, bright turquoise, garnished with pineapple and cherry.",Highball glass,pineapple wedge|cherry,Shake,Easy,5,7,3,1,6,6,Use coconut cream for body; coconut milk makes a thinner drink. Shake hard so the pineapple and coconut emulsify.,Harry Yee is credited with creating the related Blue Hawaii in Honolulu in the 1950s; the Blue Hawaiian developed as a coconut-leaning cousin in tropical bar menus.,Hawaiian bar histories; Harry Yee cocktail attributions,{},1.5 oz white rum|0.75 oz blue curaçao|2 oz pineapple juice|0.75 oz coconut cream,"1. Shake rum, blue curaçao, pineapple juice, and coconut cream with ice. 2. Strain into a highball glass filled with ice. 3. Garnish with pineapple and a cherry."
mw_review_002_005,whiskey-smash,Whiskey Smash,A muddled whiskey sour with lemon and mint over crushed ice.,"The Whiskey Smash is a citrus-and-mint whiskey drink closely related to the julep and the smash family of nineteenth-century cocktails. Muddled lemon and mint perfume the whiskey, while sugar softens the edges. Served over crushed ice, it is colder and more refreshing than a standard whiskey sour. It is especially well suited to warm weather and outdoor entertaining.","Build a Whiskey Smash with whiskey, lemon, mint, and sugar over crushed ice for a classic summer smash.",Whiskey,Sour,summer|sour|smash|whiskey|party,whiskey|lemon|mint|crushed-ice|smash,,"Whiskey Smash served over crushed ice in a rocks glass, garnished with mint and lemon.",Rocks glass,mint sprig|lemon wheel,Shake,Easy,7,4,6,1,8,5,Muddle lemon just enough to release juice and oils; over-muddling pith adds bitterness. Use plenty of mint in the garnish for aroma.,"Smashes appear in nineteenth-century American bar manuals as spirit drinks built with seasonal fruit or citrus and ice, later settling into mint-forward whiskey versions.",Jerry Thomas era smash recipes; modern craft-bar smash revivals,{},2 oz whiskey|0.75 oz simple syrup|half a lemon cut into wedges|8 mint leaves|crushed ice,"1. Muddle lemon wedges, mint, and simple syrup in a shaker. 2. Add whiskey and ice; shake briefly. 3. Strain into a rocks glass filled with crushed ice. 4. Garnish with mint and a lemon wheel."
mw_review_002_006,new-york-sour,New York Sour,A whiskey sour finished with a red wine float for color and tannin.,"The New York Sour starts as a whiskey-lemon-sugar sour, then adds a floated red wine layer. The wine contributes color, fruit, and light tannin that changes the finish without rewriting the sour base. Served up or over ice, it is visually dramatic and still structurally clear. The float is the defining detail that separates it from a standard whiskey sour.","Shake a New York Sour with whiskey, lemon, and sugar, then float red wine for a classic layered sour.",Whiskey,Sour,classic|sour|party|whiskey|themed,whiskey|lemon|red-wine|float|sour,,New York Sour served in a rocks glass over ice with a red wine float and pale sour body.,Rocks glass,None,Shake,Intermediate,7,4,6,2,6,6,Pour the wine gently over the back of a spoon so it floats. A fruity red such as Malbec or Shiraz works better than a heavily oaky wine.,The New York Sour appears in early twentieth-century American sources as a whiskey sour with claret or red wine floated on top.,Early twentieth-century American cocktail manuals,{},2 oz whiskey|1 oz fresh lemon juice|0.75 oz simple syrup|0.75 oz red wine|optional egg white,"1. Shake whiskey, lemon juice, simple syrup, and optional egg white with ice. 2. Strain into a rocks glass over ice. 3. Slowly float red wine over the back of a spoon. 4. Serve without garnish."
mw_review_002_007,sloe-gin-fizz,Sloe Gin Fizz,"A tall sparkling sour made with sloe gin, lemon, sugar, and soda.","The Sloe Gin Fizz turns tart-sweet sloe gin into a refreshing highball with lemon and soda. Sloe gin’s berry character sits under bright citrus, while carbonation keeps the drink light. Served tall over ice, it is a classic warm-weather fizz with a distinctive red-pink color. Egg white is optional depending on whether you want a denser head.","Build a Sloe Gin Fizz with sloe gin, lemon, sugar, and soda for a classic sparkling summer cocktail.",Gin,Fizz,summer|fizz|classic|party|sparkling,sloe-gin|lemon|soda|fizz|summer,,"Sloe Gin Fizz served in a Collins glass over ice, pink-red, topped with soda and lemon.",Collins glass,lemon wheel,Shake,Easy,4,5,5,1,6,5,Sloe gin brands vary widely in sweetness; adjust syrup before adding soda. Keep the soda cold for better carbonation.,Sloe gin cocktails became popular in British and American bars as a way to use the tart berry liqueur in tall sparkling formats.,British and American fizz cocktail histories,{},2 oz sloe gin|1 oz fresh lemon juice|0.5 oz simple syrup|3 oz club soda,"1. Shake sloe gin, lemon juice, and simple syrup with ice. 2. Strain into a Collins glass filled with ice. 3. Top with club soda and stir gently. 4. Garnish with a lemon wheel."
mw_review_002_008,pink-lady,Pink Lady,"A gin sour with apple brandy, lemon, grenadine, and egg white.","The Pink Lady is a blush-colored gin sour enriched with apple brandy and grenadine, then given foam with egg white. Gin provides botanical structure, apple brandy adds orchard depth, and grenadine supplies color and soft sweetness. Served up, it reads as a classic pre-dinner sour with a distinctly pink presentation. Precise grenadine measure keeps it elegant rather than candy-sweet.","Shake a Pink Lady with gin, apple brandy, lemon, grenadine, and egg white for a classic pink sour.",Gin,Sour,classic|sour|party|themed|gin,gin|apple-brandy|grenadine|egg-white|pink,,"Pink Lady served in a chilled coupe, pale pink with foam, no heavy garnish.",Coupe,None,Shake,Intermediate,6,4,5,1,6,8,Dry-shake first for foam. Keep grenadine modest so the drink stays tart and pink rather than red and syrupy.,The Pink Lady appears in early twentieth-century American cocktail books as a gin sour distinguished by grenadine color and apple brandy.,Early twentieth-century American cocktail manuals,{},1.5 oz gin|0.5 oz apple brandy|0.75 oz fresh lemon juice|0.25 oz grenadine|1 egg white,1. Dry-shake all ingredients without ice. 2. Add ice and shake again until cold. 3. Fine-strain into a chilled coupe. 4. Serve without garnish.
mw_review_002_009,alabama-slammer,Alabama Slammer,"A sweet Southern party highball of amaretto, sloe gin, whiskey, and orange juice.","The Alabama Slammer is a fruit-forward party drink built from Southern Comfort or whiskey with amaretto, sloe gin, and orange juice. It is sweet, orange-bright, and intentionally easy to batch. Served tall over ice, it belongs to the late-twentieth-century campus and nightlife cocktail canon. Balance depends on restraining the liqueurs so orange juice does not turn the drink into punch syrup.","Build an Alabama Slammer with whiskey, amaretto, sloe gin, and orange juice for a classic Southern party cocktail.",Whiskey,Highball,party|highball|summer|southern,whiskey|amaretto|sloe-gin|orange|party,,"Alabama Slammer served in a highball glass over ice, deep orange-red, garnished with an orange slice.",Highball glass,orange slice|cherry,Shake,Easy,5,7,3,1,5,5,Southern Comfort is traditional in many recipes; straight whiskey makes a drier version. Shake with juice rather than building weakly.,The Alabama Slammer became widely known in American college and nightlife bars in the 1970s and 1980s as a sweet multi-liqueur highball.,Late twentieth-century American party cocktail histories,{},1 oz whiskey|1 oz amaretto|1 oz sloe gin|2 oz fresh orange juice,"1. Shake whiskey, amaretto, sloe gin, and orange juice with ice. 2. Strain into a highball glass filled with ice. 3. Garnish with an orange slice and cherry."
mw_review_002_010,fuzzy-navel,Fuzzy Navel,A simple peach schnapps and orange juice highball for easy summer drinking.,"The Fuzzy Navel is a two-ingredient highball of peach schnapps and orange juice. Peach sweetness leads, orange juice provides body and citrus, and the drink stays light and approachable. Served over ice, it became a defining casual cocktail of the 1980s. Its simplicity is the point: quick to make and easy to recognize.",Build a Fuzzy Navel with peach schnapps and orange juice for a classic easy summer highball.,Liqueur,Highball,party|highball|summer|easy,peach|orange|schnapps|summer|party,,"Fuzzy Navel served in a highball glass over ice, opaque orange, garnished with an orange wheel.",Highball glass,orange wheel,Build,Easy,3,7,3,0,6,4,Use fresh orange juice when possible; bottled juice dulls the peach note. Adjust schnapps down if the brand is especially sweet.,"The Fuzzy Navel is emblematic of 1980s American sweet highballs that paired fruit liqueurs with juice for easy, high-volume service.",1980s American cocktail histories,{},2 oz peach schnapps|4 oz fresh orange juice,1. Fill a highball glass with ice. 2. Add peach schnapps and orange juice. 3. Stir briefly. 4. Garnish with an orange wheel.
