slug,name,ingredients,instructions,base_spirit,category_primary,categories_all,tags,glassware,garnish,technique,difficulty,short_description,seo_description,image_url,image_alt,flavor_strength,flavor_sweetness,flavor_tartness,flavor_bitterness,flavor_aroma,flavor_texture,metadata_json
alexander,Alexander,30 ml Cognac|30 ml Crème de Cacao (Brown)|30 ml Fresh Cream,Pour all ingredients into cocktail shaker filled with ice cubes.,Cognac,Modern,Modern|IBA Official,IBA|Official|Modern,,,shaken,moderate,"A classic modern cocktail made with Cognac, recognized by the International Bartenders Association.",Learn how to make a Alexander with Cognac. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-alexander-669491364f7f2.webp,Alexander cocktail,8,3,3,2,4,8,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/alexander/"",""attribution"":""Based on IBA Official Recipe""}"
bloody-mary,Bloody Mary,45 ml Vodka|90 ml Tomato Juice|15 ml Fresh Lemon Juice|2 dashes Worcestershire Sauce,"Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass.",Vodka,Modern,Modern|IBA Official,IBA|Official|Modern,into rocks,,stirred,moderate,"A classic modern cocktail made with Vodka, recognized by the International Bartenders Association.",Learn how to make a Bloody Mary with Vodka. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-bloody-mary-6695cda72fe0f.webp,Bloody Mary cocktail,6,3,8,2,4,4,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/bloody-mary/"",""attribution"":""Based on IBA Official Recipe""}"
bramble,Bramble,50 ml Gin|25 ml Fresh Lemon Juice|12.5 ml Sugar Syrup|15 ml Crème de Mûre,"Pour all ingredients into cocktail shaker except the Crème de Mûre, shake well with ice, strain into chilled old fashioned glass filled with crushed ice, then pour the blackberry liqueur (Crème de Mûre) over the top of the drink, in a circular motion.",Gin,Modern,Modern|IBA Official,IBA|Official|Modern,,lemon slice,shaken,moderate,"A classic modern cocktail made with Gin, recognized by the International Bartenders Association.",Learn how to make a Bramble with Gin. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-bramble-6695d398036e1.webp,Bramble cocktail,6,6,8,2,7,6,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/bramble/"",""attribution"":""Based on IBA Official Recipe""}"
brandy-crusta,Brandy Crusta,52.5 ml Brandy|15 ml Fresh Lemon Juice|2 Dashes Aromatic Bitters,,Brandy,Modern,Modern|IBA Official,IBA|Official|Modern,slim cocktail,,,easy,"A classic modern cocktail made with Brandy, recognized by the International Bartenders Association.",Learn how to make a Brandy Crusta with Brandy. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-brandy-crusta-6694910571bcb.webp,Brandy Crusta cocktail,8,3,8,6,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/brandy-crusta/"",""attribution"":""Based on IBA Official Recipe""}"
caipirinha,Caipirinha,60 ml Cachaça|1 Lime cut into small wedges,Fill the glass with cracked ice and add Cachaça. Stir gently to involve ingredients.,,Modern,Modern|IBA Official,IBA|Official|Modern,,,stirred,moderate,"A classic modern cocktail, recognized by the International Bartenders Association.",Learn how to make a Caipirinha. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-caipirinha-6695cda74b13a.webp,Caipirinha cocktail,5,3,7,2,4,4,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/caipirinha/"",""attribution"":""Based on IBA Official Recipe""}"
canchanchara,Canchanchara,60 ml Cuban Aguardiente|15 ml Fresh Lime Juice|15 ml Raw Honey|50 ml Water,"Add cracked ice, and then the rum.",,Modern,Modern|IBA Official,IBA|Official|Modern,,lime wedge,,moderate,"A classic modern cocktail, recognized by the International Bartenders Association.",Learn how to make a Canchanchara. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-canchanchara-6695d39b24d7e.webp,Canchanchara cocktail,6,6,8,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/canchanchara/"",""attribution"":""Based on IBA Official Recipe""}"
corpse-reviver-2,Corpse Reviver #2,30 ml Gin|30 ml Cointreau|30 ml Lillet Blanc|30 ml Fresh Lemon Juice|1 dash Absinthe,Pour all ingredients into shaker with ice.,Gin,Modern,Modern|IBA Official,IBA|Official|Modern,,an orange,shaken,moderate,"A classic modern cocktail made with Gin, recognized by the International Bartenders Association.",Learn how to make a Corpse Reviver #2 with Gin. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-corpse-reviver-2-6695cdad6da15.webp,Corpse Reviver #2 cocktail,6,6,8,2,7,6,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/corpse-reviver-2/"",""attribution"":""Based on IBA Official Recipe""}"
cuba-libre,Cuba Libre,50 ml White Rum|120 ml Cola|10 ml Fresh Lime Juice,Garnish with lime wedge.,Rum,Modern,Modern|IBA Official,IBA|Official|Modern,,lime wedge,,easy,"A classic modern cocktail made with Rum, recognized by the International Bartenders Association.",Learn how to make a Cuba Libre with Rum. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-cuba-libre-6695cdb0a6f80.webp,Cuba Libre cocktail,6,3,8,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/cuba-libre/"",""attribution"":""Based on IBA Official Recipe""}"
dark-n-stormy,Dark ‘N’ Stormy,60 ml Goslings Rum|100 ml Ginger Beer,In a highball glass filled with ice pour the ginger beer and top floating with the Rum.,Gin,Modern,Modern|IBA Official,IBA|Official|Modern,,lime wedge,built,easy,"A classic modern cocktail made with Gin, recognized by the International Bartenders Association.",Learn how to make a Dark ‘N’ Stormy with Gin. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-dark-n-stormy-6695d39e2bd94.webp,Dark ‘N’ Stormy cocktail,6,3,3,2,7,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/dark-n-stormy/"",""attribution"":""Based on IBA Official Recipe""}"
dirty-martini,Dirty Martini,,,,Modern,Modern|IBA Official,IBA|Official|Modern,,,,easy,"A classic modern cocktail, recognized by the International Bartenders Association.",Learn how to make a Dirty Martini. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,,,5,3,3,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/dirty-martini/"",""attribution"":""Based on IBA Official Recipe""}"
